h,k,tau,I_CX,I_CS
1.0,3.1622776601683795e-05,10.0,0.3953041142605495,0.6024289820442023
1.0,3.625117049988535e-05,10.0,0.05157897138459235,0.15292007330970953
1.0,4.1556988469563484e-05,10.0,0.4116031045851651,0.6203291461291609
1.0,4.7639380104013405e-05,10.0,0.0573113318082305,0.16600337940486692
1.0,5.4612006795364095e-05,10.0,0.42754149826519827,0.6378075101697737
1.0,6.260516572014815e-05,10.0,0.06367348307369844,0.17992057544796797
1.0,7.176822469706299e-05,10.0,0.4430557834868509,0.6548036871813767
1.0,8.227241341700473e-05,10.0,0.07076787083342598,0.19490177640597936
1.0,9.431402320497317e-05,10.0,0.45809410859248634,0.6712679303985738
1.0,0.00010811807510766077,10.0,0.07869859534817315,0.21109086596266807
1.0,0.00012394252485211965,10.0,0.47261719570436267,0.6871625008118698
1.0,0.00014208308325339223,10.0,0.08757318136056552,0.2285374341870327
1.0,0.00016287874214985498,10.0,0.4865979677176534,0.7024616138871975
1.0,0.00018671810912919206,10.0,0.09750401901312675,0.2472254144847983
1.0,0.0002140466694217523,10.0,0.5000199313169693,0.7171499493488633
1.0,0.00024537511066398166,10.0,0.10860881320801247,0.2671295581170454
1.0,0.00028128886609642633,10.0,0.5128746068405059,0.7312199989475431
1.0,0.00032245905452963947,10.0,0.12101022697788236,0.28827528867099805
1.0,0.0003696550215126699,10.0,0.5251584760284898,0.74466875455451
1.0,0.0004237587160604063,10.0,0.1348351204019752,0.31076944875370305
1.0,0.00048578117159706736,10.0,0.5368699689460751,0.7574943278346361
1.0,0.0005568813990945267,10.0,0.15021337286248448,0.3347830321326936
1.0,0.0006383880454607353,10.0,0.5480069056922552,0.7696929986445783
1.0,0.0007318242219076182,10.0,0.16727591305638367,0.3605009427596998
1.0,0.0008389359662650986,10.0,0.5585645842593436,0.7812569261019412
1.0,0.0009617248711152964,10.0,0.18615198071104017,0.3880808947917835
1.0,0.0011024854874674263,10.0,0.5685344757663028,0.7921724272877158
1.0,0.0012638482029342971,10.0,0.20696647452421707,0.41765310303433373
1.0,0.0014488283956730537,10.0,0.5779034058339927,0.8024185295546531
1.0,0.0016608827826277166,10.0,0.2298382221287893,0.44935073970085204
1.0,0.0019039740150507663,10.0,0.5866532647416441,0.8119656393673629
1.0,0.0021826447283974874,10.0,0.2548787756533568,0.4833343299991231
1.0,0.0025021024303602817,10.0,0.5947616287489157,0.8207746787753323
1.0,0.002868316813342012,10.0,0.2821904880111714,0.5197909793876258
1.0,0.0032881313098424274,10.0,0.6022039238714864,0.8287976344261595
1.0,0.0037693909753883635,10.0,0.3118633215693992,0.5589204312716063
1.0,0.004321089088750567,10.0,0.6089576025993171,0.8359806302144717
1.0,0.00495353520895917,10.0,0.3439700711146784,0.6009224640627914
1.0,0.005678547829591997,10.0,0.6150081193635061,0.842270006308297
1.0,0.00650967523045817,10.0,0.3785584594776502,0.6459887558603241
1.0,0.007462448653723031,10.0,0.6203555341771132,0.8476206115575065
1.0,0.008554672535565685,10.0,0.4156391350572812,0.6942982780886163
1.0,0.009806757216915775,10.0,0.6250198559369271,0.852004247707276
1.0,0.011242100350620862,10.0,0.455170373469877,0.7460061835657624
1.0,0.012887524132383678,10.0,0.6290432041531504,0.8554156813227356
1.0,0.014773776525985112,10.0,0.4970408080699793,0.8012200126641774
1.0,0.01693610584916738,10.0,0.632487625982715,0.857874201313133
1.0,0.019414919457438815,10.0,0.5410544272950539,0.8599766511236558
1.0,0.022256538834596835,10.0,0.6354286858948054,0.8594201199015514
1.0,0.0255140652003129,10.0,0.586927091254987,0.9222325468178216
1.0,0.029248371810351573,10.0,0.6379462803746234,0.8601073036666115
1.0,0.033529241492495566,10.0,0.6343081940736592,0.9878745071836619
1.0,0.03843667067526157,10.0,0.6401150520417568,0.8599941498209994
1.0,0.04406236427773573,10.0,0.6828421598357636,1.0567658650137057
1.0,0.05051144939547159,10.0,0.6419969401163369,0.8591359426797202
1.0,0.057904439806024895,10.0,0.7322759132871236,1.1288399596146497
1.0,0.06637948800475621,10.0,0.6436376770990764,0.8575810546426763
1.0,0.07609496685459875,10.0,0.7825907058620698,1.2042216704719129
1.0,0.0872324290929691,10.0,0.6450676277611435,0.8553720943671651
1.0,0.1,10.0,0.8340884196806142,1.2833095959229288
1.0,0.11,10.0,0.6463058377657798,0.8525512325166065
1.0,0.12375,10.0,0.8873206269232374,1.3667086981053913
1.0,0.1375,10.0,0.6473652430891903,0.8491672198928817
1.0,0.15125,10.0,0.942781336583927,1.4549297255087663
1.0,0.165,10.0,0.6482571362157933,0.8452808897965904
1.0,0.17875000000000002,10.0,1.0004523238970715,1.5479352255784389
1.0,0.1925,10.0,0.6489940163660752,0.8409667717621935
1.0,0.20625,10.0,1.0595090909146556,1.6448304447334137
1.0,0.22,10.0,0.6495911628400812,0.8363105738028427
1.0,0.23375,10.0,1.1184861264446284,1.7439959814049462
1.0,0.2475,10.0,0.6500679409932453,0.8314045791315396
1.0,0.26125,10.0,1.175802828298464,1.8435847838843107
1.0,0.275,10.0,0.6504497533728266,0.8263441712579367
1.0,0.28875,10.0,1.2301378160119698,1.9419171520209288
1.0,0.3025,10.0,0.6507710172580735,0.8212282034850027
1.0,0.31625,10.0,1.2802809829923751,2.0374193956600615
1.0,0.33,10.0,0.6510790862041692,0.8161642116186528
1.0,0.34375,10.0,1.3247213528613628,2.1282684898903925
1.0,0.3575,10.0,0.651438885358911,0.8112775509810842
1.0,0.37124999999999997,10.0,1.3619225384360556,2.212579356360288
1.0,0.385,10.0,0.6519381076241626,0.8067223881081511
1.0,0.39875,10.0,1.3922448202739255,2.290286335863036
1.0,0.4125,10.0,0.6526928972096101,0.8026925232760007
1.0,0.42624999999999996,10.0,1.4199040409434507,2.3654861943938807
1.0,0.44,10.0,0.6538538696046741,0.7994309402179732
1.0,0.45375,10.0,1.4508673520527218,2.44482197696732
1.0,0.46749999999999997,10.0,0.6556120120886325,0.7972378947484065
1.0,0.48125,10.0,1.4870586313187184,2.5314616051905907
1.0,0.495,10.0,0.6582034376740071,0.7964773797156885
1.0,0.50875,10.0,1.5234460825298535,2.6211281097525685
1.0,0.5225,10.0,0.6619111129426279,0.7975805352378257
1.0,0.53625,10.0,1.5528851303311269,2.7055920146598362
1.0,0.55,10.0,0.6670606497667629,0.8010421412543003
1.0,0.56375,10.0,1.575437761475711,2.782128705934703
1.0,0.5775,10.0,0.6740065073649347,0.8074033134249494
1.0,0.59125,10.0,1.5977166720577285,2.856505630809835
1.0,0.605,10.0,0.6831057305025485,0.8172115010739907
1.0,0.61875,10.0,1.6202944351576818,2.9323436061331027
1.0,0.6325,10.0,0.6946807828908557,0.8309518425478025
1.0,0.64625,10.0,1.6394513309835828,3.006547669200781
1.0,0.66,10.0,0.7089823277959656,0.8489583477605085
1.0,0.67375,10.0,1.6564046962709749,3.0768311442297875
1.0,0.6875,10.0,0.7261714188014287,0.8713405603713379
1.0,0.70125,10.0,1.672011048538294,3.1452423240367047
