tau,optimal_h,optimal_k,I_CS_value,optimal_I_CX
10.0,0.0,0.0,0.1,0.0
10.0,0.0,0.0,0.12000000000000001,0.0
10.0,0.0,0.0,0.14,0.0
10.0,0.0,0.0,0.16000000000000003,0.0
10.0,0.0,0.0,0.18000000000000002,0.0
10.0,0.0,0.0,0.2,0.0
10.0,0.0,0.0,0.22000000000000003,0.0
10.0,0.0,0.0,0.24000000000000005,0.0
10.0,0.0,0.0,0.26,0.0
10.0,0.0,0.0,0.28,0.0
10.0,0.0,0.0,0.30000000000000004,0.0
10.0,0.0,0.0,0.32000000000000006,0.0
10.0,0.0,0.0,0.3400000000000001,0.0
10.0,0.0,0.0,0.36000000000000004,0.0
10.0,0.0,0.0,0.38000000000000006,0.0
10.0,0.0,0.0,0.4000000000000001,0.0
10.0,0.0,0.0,0.42000000000000004,0.0
10.0,0.0,0.0,0.44000000000000006,0.0
10.0,0.0,0.0,0.4600000000000001,0.0
10.0,0.0,0.0,0.4800000000000001,0.0
10.0,0.0,0.0,0.5000000000000001,0.0
10.0,0.0,0.0,0.5200000000000001,0.0
10.0,0.0,0.0,0.54,0.0
10.0,0.0,0.0,0.56,0.0
10.0,0.0,0.0,0.5800000000000001,0.0
10.0,0.0,0.0,0.6000000000000001,0.0
10.0,0.0,0.0,0.6200000000000001,0.0
10.0,0.0,0.0,0.6400000000000001,0.0
10.0,0.0,0.0,0.6600000000000001,0.0
10.0,0.0,0.0,0.6800000000000002,0.0
10.0,0.0,0.0,0.7000000000000002,0.0
10.0,0.0,0.0,0.7200000000000001,0.0
10.0,19.904522613065325,0.825,0.7400000000000001,0.2633838669140488
10.0,0.0,0.0,0.7600000000000001,0.0
10.0,18.5678391959799,0.8525,0.7800000000000001,0.2791168284846229
10.0,0.0,0.0,0.8000000000000002,0.0
10.0,17.51758793969849,0.8525,0.8200000000000002,0.2948751129505265
10.0,0.0,0.0,0.8400000000000002,0.0
10.0,16.849246231155778,0.7975,0.8600000000000001,0.3109621464173551
10.0,0.0,0.0,0.8800000000000001,0.0
10.0,15.798994974874372,0.825,0.9000000000000001,0.3270703110278667
10.0,19.904522613065325,0.99,0.9200000000000002,0.23418537244075946
10.0,15.130653266331658,0.7975,0.9400000000000002,0.34302468839615363
10.0,19.904522613065325,0.825,0.9600000000000002,0.24407928394327918
10.0,14.36683417085427,0.7975,0.9800000000000002,0.3594079964628834
10.0,18.472361809045225,0.94875,1.0000000000000002,0.25561289004670806
10.0,13.316582914572864,0.88,1.0200000000000002,0.3755430051817456
10.0,17.708542713567837,0.99,1.0400000000000003,0.26457511593876887
10.0,13.22110552763819,0.75625,1.0600000000000003,0.3921967998358322
10.0,17.231155778894472,0.92125,1.0800000000000003,0.2761653620883264
10.0,12.075376884422111,0.89375,1.1,0.4083302108372674
10.0,16.371859296482413,0.99,1.12,0.2862760680032225
10.0,12.075376884422111,0.75625,1.1400000000000001,0.425292494617003
10.0,16.65829145728643,0.78375,1.1600000000000001,0.2954589023431347
10.0,11.407035175879397,0.7975,1.1800000000000002,0.4417950285439993
10.0,15.226130653266331,0.99,1.2000000000000002,0.30739733688816767
10.0,11.311557788944723,0.70125,1.2200000000000002,0.4591781055572186
10.0,14.748743718592964,0.99,1.2400000000000002,0.31696574985436937
10.0,10.64321608040201,0.75625,1.2600000000000002,0.4761762006812715
10.0,14.93969849246231,0.7975,1.2800000000000002,0.3271055960950616
10.0,10.547738693467336,0.67375,1.3000000000000003,0.49354215487106057
10.0,13.793969849246231,0.99,1.3200000000000003,0.3377727288046762
10.0,10.261306532663315,0.64625,1.3400000000000003,0.51088023830962
10.0,14.557788944723617,0.66,1.3600000000000003,0.3475233727474415
10.0,9.879396984924623,0.64625,1.3800000000000003,0.5284617337773388
10.0,13.22110552763819,0.89375,1.4000000000000004,0.3586810456284507
10.0,9.688442211055277,0.605,1.4200000000000004,0.5461324202569677
10.0,12.743718592964823,0.92125,1.4400000000000002,0.36886003000636547
10.0,9.402010050251256,0.59125,1.4600000000000002,0.5638753664401981
10.0,13.22110552763819,0.67375,1.4800000000000002,0.3784170136868782
10.0,1.0,0.019414919457438815,1.5000000000000002,0.6740065073649347
10.0,11.884422110552764,0.9625,1.5200000000000002,0.38983705125173396
10.0,1.0954773869346734,0.01693610584916738,1.5400000000000003,0.6998559534270237
10.0,11.597989949748744,0.94875,1.5600000000000003,0.3997312097013902
10.0,1.2864321608040201,0.011242100350620862,1.5800000000000003,0.7337016707028429
10.0,11.884422110552764,0.7424999999999999,1.6000000000000003,0.40965434967784664
10.0,1.4773869346733668,0.005678547829591997,1.6200000000000003,0.7619467856963088
10.0,11.025125628140703,0.92125,1.6400000000000003,0.42098849317304105
10.0,1.763819095477387,0.0032881313098424274,1.6600000000000004,0.7896244269923214
10.0,12.075376884422111,0.5225,1.6800000000000004,0.43002306929832784
10.0,1.8592964824120601,0.0021826447283974874,1.7000000000000004,0.806208889175513
10.0,10.452261306532662,0.9349999999999999,1.7200000000000004,0.4407336809225611
10.0,1.9547738693467336,0.0014488283956730537,1.7400000000000002,0.8243229464645554
10.0,10.07035175879397,0.97625,1.7600000000000002,0.4521418363656879
10.0,1.9547738693467336,0.0011024854874674263,1.7800000000000002,0.8404560101209217
10.0,9.879396984924623,0.9625,1.8000000000000003,0.46149217933260617
10.0,2.241206030150754,0.0006383880454607353,1.8200000000000003,0.8528605863477797
10.0,10.07035175879397,0.78375,1.8400000000000003,0.4719453915288925
10.0,2.527638190954774,0.00028128886609642633,1.8600000000000003,0.8720799843636576
10.0,9.402010050251256,0.9625,1.8800000000000003,0.4831698398006271
10.0,2.3366834170854274,0.00028128886609642633,1.9000000000000004,0.8905171715570632
10.0,9.688442211055277,0.75625,1.9200000000000004,0.4926387642615849
10.0,2.527638190954774,0.00014208308325339223,1.9400000000000004,0.9050036806357762
10.0,9.020100502512562,0.94875,1.9600000000000004,0.5038105234157012
10.0,2.527638190954774,9.431402320497317e-05,1.9800000000000004,0.9204929734297957
10.0,8.829145728643216,0.9349999999999999,2.0000000000000004,0.5156276468782857
10.0,2.7185929648241203,3.625117049988535e-05,2.0200000000000005,0.9344732729003165
10.0,10.356783919597989,0.37124999999999997,2.0400000000000005,0.5259447621921016
10.0,2.527638190954774,3.625117049988535e-05,2.0600000000000005,0.9424462631523269
10.0,10.07035175879397,0.385,2.0800000000000005,0.5368732578702754
10.0,2.527638190954774,3.1622776601683795e-05,2.1000000000000005,0.9439718665416149
10.0,9.974874371859297,0.3575,2.1200000000000006,0.5487144622043789
10.0,2.241206030150754,3.625117049988535e-05,2.1400000000000006,0.935678538986475
10.0,9.592964824120603,0.39875,2.1600000000000006,0.5591239028385802
10.0,1.3819095477386933,0.05051144939547159,2.1800000000000006,0.9393477180646473
10.0,9.688442211055277,0.33,2.2000000000000006,0.5720694083850155
10.0,1.0,0.1,2.2200000000000006,0.9516205878592263
10.0,2.3366834170854274,3.1622776601683795e-05,2.24,0.8091174658893387
10.0,1.2864321608040201,0.06637948800475621,2.2600000000000002,0.968941771194229
10.0,2.6231155778894473,3.1622776601683795e-05,2.2800000000000002,0.8908159778886031
10.0,1.0,0.11,2.3000000000000003,0.9736168836372912
10.0,3.0050251256281406,3.1622776601683795e-05,2.3200000000000003,0.9588158988747227
10.0,1.0,0.12375,2.3400000000000003,1.0000336782135433
10.0,3.100502512562814,3.1622776601683795e-05,2.3600000000000003,0.9702998328567255
10.0,1.0954773869346734,0.11,2.3800000000000003,1.0133111528283874
10.0,3.1959798994974875,3.1622776601683795e-05,2.4000000000000004,0.9790767265218185
10.0,1.2864321608040201,0.0872324290929691,2.4200000000000004,1.027287660424586
10.0,3.386934673366834,3.1622776601683795e-05,2.4400000000000004,0.9913654735277548
10.0,1.1909547738693467,0.11,2.4600000000000004,1.0463178863099167
10.0,3.291457286432161,4.1556988469563484e-05,2.4800000000000004,0.9972511896493481
10.0,1.0954773869346734,0.1375,2.5000000000000004,1.0597932199664557
10.0,3.1959798994974875,5.4612006795364095e-05,2.5200000000000005,1.0039708185862368
10.0,4.628140703517587,0.385,2.5400000000000005,1.0747775412547669
10.0,3.1959798994974875,6.260516572014815e-05,2.5600000000000005,1.0117996898850126
10.0,4.914572864321608,0.26125,2.5800000000000005,1.096549936900522
10.0,3.100502512562814,8.227241341700473e-05,2.6000000000000005,1.0209269313148468
10.0,4.819095477386934,0.2475,2.6200000000000006,1.1172225921714662
10.0,3.0050251256281406,0.00010811807510766077,2.6400000000000006,1.0315637772272743
10.0,4.532663316582914,0.275,2.6600000000000006,1.140002037044899
10.0,2.909547738693467,0.00014208308325339223,2.6800000000000006,1.044015304353687
10.0,4.532663316582914,0.23375,2.7000000000000006,1.1618981717254087
10.0,3.0050251256281406,0.00014208308325339223,2.7200000000000006,1.057186748396452
10.0,4.2462311557788945,0.275,2.7400000000000007,1.1775796341457414
10.0,3.1959798994974875,0.00012394252485211965,2.7600000000000007,1.0681853525858969
10.0,4.2462311557788945,0.23375,2.7800000000000007,1.1967240171241678
10.0,2.909547738693467,0.00018671810912919206,2.8000000000000007,1.0735943597032136
10.0,3.959798994974874,0.275,2.8200000000000007,1.2129245868540623
10.0,3.0050251256281406,0.00018671810912919206,2.8400000000000007,1.088016690490313
10.0,3.7688442211055277,0.3025,2.8600000000000003,1.225608101145081
10.0,3.1959798994974875,0.00016287874214985498,2.8800000000000003,1.0981068236580476
10.0,3.577889447236181,0.31625,2.9000000000000004,1.242956229298103
10.0,2.909547738693467,0.00024537511066398166,2.9200000000000004,1.1083104880481822
10.0,3.4824120603015074,0.3025,2.9400000000000004,1.2561804206075264
10.0,3.100502512562814,0.0002140466694217523,2.9600000000000004,1.1186692946414716
10.0,3.291457286432161,0.33,2.9800000000000004,1.2680722279866155
10.0,2.909547738693467,0.00028128886609642633,3.0000000000000004,1.1272836062479366
10.0,3.100502512562814,0.3575,3.0200000000000005,1.2795780132558596
10.0,3.100502512562814,0.00024537511066398166,3.0400000000000005,1.1368622634906278
10.0,2.527638190954774,0.78375,3.0600000000000005,1.291015660163748
10.0,2.909547738693467,0.00032245905452963947,3.0800000000000005,1.1474023638655757
10.0,2.4321608040201004,0.75625,3.1000000000000005,1.301756905370472
10.0,3.0050251256281406,0.00032245905452963947,3.1200000000000006,1.1625032669225663
10.0,2.3366834170854274,0.72875,3.1400000000000006,1.3100076349720668
10.0,3.1959798994974875,0.00028128886609642633,3.1600000000000006,1.1705486339723412
10.0,2.1457286432160805,0.9625,3.1800000000000006,1.3164189718000472
10.0,3.0050251256281406,0.0003696550215126699,3.2000000000000006,1.1842850238049478
10.0,2.050251256281407,0.77,3.2200000000000006,1.3237907980080645
10.0,3.1959798994974875,0.00032245905452963947,3.2400000000000007,1.1917055010805768
10.0,1.8592964824120601,0.59125,3.2600000000000007,1.3205682007385406
10.0,8.256281407035175,0.0002140466694217523,3.2800000000000007,1.3607320055517058
10.0,1.6683417085427137,0.7424999999999999,3.3000000000000007,1.3264307662374377
10.0,7.969849246231155,0.00024537511066398166,3.3200000000000007,1.3713520723690489
10.0,0.0,0.0,3.3400000000000007,0.0
10.0,7.683417085427135,0.00032245905452963947,3.3600000000000008,1.3825091238918317
