run, initial grid state, final grid state, mean grid cell occupancy, mean binding site occupancy, fraction of time with N TFs bound, warning
1, 0011111100, 0001111100, 0.5897761650007833, 0.9829320251133322, 0.0 0.0 0.0 0.0003703705772539831 0.0061515183813900635 0.08899370082546486 0.9044844102158911, 
2, 0011111100, 0011111100, 0.5907267405265088, 0.9845153776722693, 0.0 0.0 0.0 0.0004553894562090862 0.004790297777423613 0.08196097004291072 0.9127933427234566, 
3, 0011111100, 0011111000, 0.5896005125160831, 0.9826381841646259, 0.0 0.0 0.0 0.0002586548393634387 0.0040886357613177625 0.09521765897151838 0.9004350504278005, 
4, 0011111100, 0001111100, 0.5896255936427601, 0.9826805780053683, 0.0 0.0 0.0 0.0002600252241929372 0.0076062674978744655 0.08792392129946228 0.9042097859784705, 
5, 0011111100, 0011111100, 0.5915040052641568, 0.9858114415964818, 0.0 0.0 0.0 0.00028060305047000446 0.006155644736697596 0.07197825179630475 0.9215855004165276, 
6, 0011111100, 0011111100, 0.5877960014967842, 0.9796319143774875, 0.0 0.0 0.0 0.00033194643187321363 0.00953163050143647 0.10214941343658245 0.8879870096301079, 
7, 0011111100, 0011111100, 0.5886030454876188, 0.980976065515478, 0.0 0.0 0.0 0.0006594442323312589 0.008903606433220065 0.09435806134369787 0.8960788879907509, 
8, 0011111100, 0011111100, 0.5883147978432716, 0.9804957511578777, 0.0 0.0 0.0 0.0010826755962918485 0.007763223748322455 0.09825101876721284 0.8929030818881729, 
9, 0011111100, 0011111100, 0.5888517142724708, 0.981390375854174, 0.0 0.0 0.0 0.00047176800716692397 0.008620448224299308 0.09300154440485665 0.8979062393636772, 
10, 0011111100, 0011111100, 0.5888226020170343, 0.9813423832445243, 0.0 0.0 0.0 0.0004583303613856292 0.006054676125019185 0.09846135719865931 0.8950256363149358, 
11, 0011111100, 0011111100, 0.5898293062761932, 0.983019213173066, 0.0 0.0 4.0295745848474044e-06 0.0007197824446075905 0.007101251730652539 0.08550675186813757 0.9066681843820175, 
12, 0011111100, 0011111100, 0.5898395541861232, 0.9830376142021569, 0.0 0.0 0.0 0.0003080732600305087 0.006392771546032506 0.08806455191490284 0.905234603279034, 
