run, initial grid state, final grid state, mean grid cell occupancy, mean binding site occupancy, fraction of time with N TFs bound, warning
1, 0011111100, 0011111100, 0.5820415001217819, 0.9699753369847198, 0.0 0.0 0.00019873245488672027 0.0016767348686894596 0.017403872946756323 0.13951509777255353 0.8412055619571139, 
2, 0011111100, 0011111100, 0.5827388640150785, 0.9711365082059664, 0.0 0.0 0.00013070523246197472 0.0023465095402770246 0.015323928831161323 0.13497074355120028 0.8472281128448994, 
3, 0001111100, 0011111100, 0.5837529735299934, 0.9728252448389365, 0.0 0.0 5.5825445363748635e-05 0.0009384968727941881 0.016426351499589063 0.1271570355673659 0.8554222906148871, 
4, 0011111100, 0011111100, 0.5830182069790613, 0.9716016326191788, 0.0 0.0 0.00012886102484509348 0.001218214484424832 0.016939805568560326 0.1323405055951519 0.8493726133270179, 
5, 0011111100, 0011111000, 0.5840541074902662, 0.973328383293579, 0.0 0.0 0.00022307148345663432 0.0013120178762461457 0.01383726404538312 0.12752683258519504 0.8571008140097192, 
6, 0011111100, 0011111100, 0.5824146981327265, 0.9705983310707976, 4.22991720587299e-05 6.705588732123374e-05 0.00035361861962539807 0.0018056294026214876 0.016167427357441453 0.13665472170500573 0.844909247855926, 
7, 0011111100, 0011111100, 0.5827626144736668, 0.9711762625935071, 0.0 0.0 3.813883129869188e-06 0.0019266986927981814 0.01520767042070167 0.13673173198664024 0.8461300850167299, 
8, 0011111100, 0011111100, 0.5828195492997964, 0.9712732091896463, 0.0 0.0 0.0001365748537040892 0.0012894261937307246 0.013309811792221474 0.14132654328167063 0.8439376438786731, 
9, 0011111100, 0011111100, 0.5848613557047136, 0.974673577703506, 0.0 0.0 1.3411880574112845e-05 0.0012315030151510734 0.013521513706383667 0.12116734979844748 0.8640662215994437, 
10, 0011111100, 0011111100, 0.5834260824937019, 0.9722831818666604, 0.0 0.0 0.0 0.0014934498337485533 0.013094338181871579 0.13563188293504813 0.8497803290493319, 
11, 0011111100, 0011111100, 0.5831158234147702, 0.9717651121303529, 0.0 0.0 0.00047385092086058104 0.0017773375395843012 0.016229929739018354 0.12972205143765114 0.8517968303628856, 
12, 0011111100, 0011111100, 0.5829348568095669, 0.971463889653093, 0.0 0.0 0.00013077359972434382 0.001676883160047098 0.014436742109346024 0.13678943398371135 0.8469661671471712, 
13, 0011111100, 0011111100, 0.5853736021667684, 0.9755275350061702, 0.0 0.0 9.470225815040724e-05 0.0005949490702335323 0.009384166730831126 0.12590280025801445 0.8640233816827705, 
14, 0011111000, 0011111100, 0.5840409565468851, 0.9733063553622839, 0.0 0.0 0.0003749560630598806 0.001463135167318469 0.015744575880676768 0.12278348631074794 0.859633846578197, 
15, 0011111100, 0001111100, 0.58499851319066, 0.9749020032501218, 0.0 0.0 3.262009456975119e-05 0.001063061365134134 0.014299570671009856 0.11866917468356869 0.8659355731857175, 
16, 0011111100, 0011111100, 0.5826580694201127, 0.9710024194721484, 0.0 0.0 0.0 0.0013898837830655913 0.017727892304138446 0.134360047209636 0.84652217670316, 
17, 0011111100, 0011111100, 0.5838584965391979, 0.9730013622802579, 0.0 0.0 0.00018228976290820607 0.0015770912158822017 0.01376086869246692 0.12900965623423938 0.8554700940945033, 
18, 0011111100, 0001111000, 0.5835129012321464, 0.9724251015066263, 0.0 0.0 0.00011222105566588894 0.001568554932022868 0.014515116779820418 0.13126460838186993 0.8525394988506209, 
19, 0011111100, 0011110100, 0.5831928828516821, 0.9718930712333052, 0.0 0.0 7.625298295690898e-05 0.0019004170964584993 0.017150130355247577 0.12833504866847095 0.852538150896866, 
20, 0011111100, 0011111100, 0.5850019098067593, 0.9749071855954932, 0.0 0.0 0.00027006598607711845 0.00048663754163175816 0.012215714393525067 0.12358528107078749 0.8634423010079785, 
21, 0001111100, 0011111100, 0.5822736891901845, 0.9703617509573309, 0.0 0.0 0.0004375018848404997 0.0017802114215376972 0.016671892287251844 0.13739506787753591 0.843715326528834, 
22, 0011111100, 0011111100, 0.5821145071237006, 0.9700974817457688, 0.0 0.0 1.7711387846640177e-05 0.0012946590659006435 0.016804403158303723 0.14185148045969118 0.8400317459282578, 
23, 0011111100, 0011111100, 0.5834092116633808, 0.9722559154906728, 0.0 0.0 4.422446803592499e-06 0.0014244411975978526 0.01655024484645643 0.12907300398304214 0.8529478875261001, 
24, 0011111100, 0011111100, 0.5833289781201485, 0.9721218779275672, 0.0 0.0 0.0 0.0008064349038774058 0.018735207057322838 0.12737901360831858 0.8530793444304813, 
25, 0011111100, 0011111100, 0.5839553571929683, 0.9731645139806989, 0.0 0.0 0.0 0.0009155165041572706 0.012079581612762048 0.13410720337781057 0.8528976985052702, 
26, 0011111100, 0011111100, 0.583455537689274, 0.9723283954380391, 0.0 0.0 0.0002671943478639991 0.0019120723734902553 0.013193248097216476 0.13283813666540628 0.8517893485160231, 
27, 0011111100, 0011111100, 0.5839381617839075, 0.9731355014868104, 0.0 0.0 0.00021233343485140373 0.0007228286496377346 0.01296094870598544 0.1322472739788484 0.853856615230677, 
28, 0011111100, 0011111100, 0.5838807531456308, 0.9730359725337459, 0.0 0.0 0.000278832717619737 0.0011926063160539097 0.014012980224213198 0.12906505453045805 0.8554505262116551, 
29, 0011111100, 0011111100, 0.5836863200751732, 0.9727154028586227, 0.0 0.0 1.2789174704438163e-05 0.0006819806935966724 0.014075283279054432 0.13345991751054692 0.8517700293420976, 
30, 0011111100, 0011111100, 0.5836804827886438, 0.9727058402038947, 0.0 0.0 6.322974064303295e-05 0.0009937115699928643 0.013056128872255521 0.13441864735956918 0.8514682824575394, 
31, 0011111100, 0011111100, 0.5850531015268906, 0.9749930895190365, 0.0 0.0 4.282621679033551e-05 0.0014982333784860566 0.012476051155480939 0.12042335557220007 0.8655595336770426, 
32, 0011111100, 0011111100, 0.582483018916132, 0.9707116150385982, 0.0 0.0 0.00011207969742684136 0.0019180406008204958 0.017551846788196716 0.13442417559984887 0.845993857313707, 
33, 0011111100, 0011111100, 0.5836959317042011, 0.9727299469101679, 0.0 0.0 3.981006131126767e-05 0.0009366336439593968 0.0156766094162944 0.12929795852927983 0.854048988349155, 
34, 0011111100, 0011111100, 0.5828238723614186, 0.9712790117795214, 0.0 0.0 0.00015623919324375332 0.0016739104546800042 0.014961960259506066 0.13675532066684484 0.8464525694257253, 
35, 0011111100, 0011111100, 0.5847516570393033, 0.9744901575469895, 0.0 0.0 0.0002498031426853225 0.001546987280577485 0.012225818401119965 0.1229672435033496 0.8630101476722677, 
36, 0011111100, 0011111100, 0.583677502376924, 0.9727025854833213, 0.0 0.0 0.0003484775178041912 0.0013736481709234487 0.0166809045973512 0.12490782332138216 0.856689146392539, 
37, 0011111100, 0001111100, 0.5833711447522213, 0.9721894384656499, 4.196944843292236e-05 0.00010666232825676598 6.005402832076662e-05 0.0015350440212811138 0.01686140081769115 0.12751009106171118 0.8538847782943062, 
38, 0011111100, 0011111100, 0.5824803849972099, 0.9707041953791551, 0.0 0.0 0.0006903932429637795 0.0015042111752763389 0.015944127829781253 0.13661236556782272 0.8452489021841559, 
39, 0011111100, 0011111100, 0.5837399720889442, 0.9728036481326126, 0.0 0.0 0.0 0.001963580238209892 0.01637418042728001 0.1245390096351346 0.8571232296993754, 
