run, initial grid state, final grid state, mean grid cell occupancy, mean binding site occupancy, fraction of time with N TFs bound, warning
1, 0011111000, 0011111000, 0.5856309184255255, 0.9748452105636959, 0.0 0.0 0.0 0.0006581921887163888 0.012861388292711438 0.1232313834662524 0.8632490360523198, 
2, 0011111100, 0011111100, 0.5862662535384336, 0.9759342243321271, 0.0 0.0 0.00022550977034841262 0.000970517134248075 0.010336460715065571 0.11990814209296764 0.8685593702873703, 
3, 0011111100, 0001111100, 0.5873714535606666, 0.9777372396326883, 0.0 0.0 2.2531748085249036e-05 0.001432866205845333 0.011067373721195378 0.10705308915160205 0.880424139173272, 
4, 0011111100, 0011111100, 0.5855332839056558, 0.9746494321435148, 0.0 0.0 0.00037553995963264075 0.0010289175649211802 0.012263631030434274 0.1229872325447479 0.863344678900264, 
5, 0011111100, 0011111100, 0.5871199437388819, 0.9773243755979805, 0.0 0.0 0.0 0.000272957610902694 0.008546006348535364 0.11814286088233852 0.8730381751582235, 
6, 0001111100, 0011111100, 0.5876458346103, 0.9782006716195509, 0.0 0.0 0.00042539862227042514 0.0030007494262728235 0.007519294241744344 0.10505353903130547 0.8840010186784069, 
7, 0011111100, 0001111100, 0.5884720149807519, 0.9795857286069912, 0.0 0.0 0.0 0.000587057760530852 0.008581231011792164 0.1035619930528757 0.8872697181748014, 
8, 0011111100, 0011111100, 0.5868997956447783, 0.9769283065585541, 0.0 0.0 0.00025266185300923524 0.00031124280506599514 0.013389339737787935 0.10970710534586536 0.8763396502582714, 
9, 0011111100, 0001111100, 0.5877229771071825, 0.9783078400452091, 0.0 0.0 0.0001850322779959582 0.0010979107653136338 0.00818778522203603 0.10974352787674824 0.8807857438579061, 
10, 0011111100, 0011111100, 0.5868306568758235, 0.9768294553951902, 0.0 0.0 0.0 0.000515813356335972 0.00920251650380084 0.11907079455224895 0.8712108755876142, 
11, 0001111100, 0011111100, 0.5866672747589431, 0.9765406259207999, 0.0 0.0 0.0 0.0011386251765027145 0.012371923502243799 0.1125965219412052 0.8738929293800483, 
12, 0011111100, 0011111100, 0.5860004593326222, 0.975470694562118, 0.0 0.0 0.00024212436398392628 0.0011979649933238255 0.011762855169411751 0.11908772985256107 0.8677093256207193, 
13, 0001111100, 0011111100, 0.5863858906528522, 0.9760884279964609, 0.0 0.0 0.000208412752568963 0.0016392813833992395 0.01123113920036385 0.11525565846003402 0.8716655082036339, 
14, 0011111100, 0011111100, 0.5851476418829853, 0.9740049033602183, 0.0 0.0 0.00031241227474939254 0.0021936335872937774 0.013550681853869422 0.12103866627007262 0.8629046060140148, 
15, 0011111000, 0011111100, 0.5865441485527404, 0.9763892663522589, 0.0 0.0 0.0 0.0013668703108146642 0.010064398876136327 0.11743499320172958 0.8711337376113195, 
16, 0011111100, 0011111100, 0.585835564458237, 0.9751785351389909, 0.0 0.0 8.864062290623074e-05 0.0006806432787407579 0.012589952277492465 0.1213523922832226 0.8652883715376379, 
17, 0011111000, 0011111100, 0.5861772789106836, 0.9757424085603611, 0.0 0.0 0.0 0.0007401375270581813 0.013203934476941744 0.11691726710277586 0.8691386608932242, 
18, 0011111100, 0011111100, 0.5861398093759371, 0.9757223484338567, 0.0 0.0 0.0007146560219542184 0.0015098778175268923 0.013889173508391882 0.11049930483967844 0.8733869878124486, 
19, 0011111100, 0011111100, 0.5851919650411084, 0.974116133421884, 0.0 0.0 0.0001157156830768358 0.0016375119666537001 0.011225321264765638 0.1274771583068962 0.8595442927786077, 
20, 0011111100, 0011111100, 0.5871656117358892, 0.9774040441878397, 0.0 0.0 0.00046377635569549736 0.00016388360667705533 0.01213729405022532 0.10895439052969874 0.8782806554577034, 
21, 0011111100, 0011111100, 0.5872833990744444, 0.9776023791857387, 0.0 0.0 0.0 0.00031121963061559057 0.012647530186961293 0.10815700561979827 0.8788842445626249, 
