run, initial grid state, final grid state, mean grid cell occupancy, mean binding site occupancy, fraction of time with N TFs bound, warning
1, 111111, 111111, 0.9802932085450276, 0.9802932085450276, 0.0 0.0 0.0 0.00035270824472140696 0.009383934294636345 0.09841475540639773 0.8918486020542445, 
2, 111111, 111111, 0.9807195173895312, 0.9807195173895312, 0.0 0.0 0.0 0.0005536216679034275 0.006439620919689328 0.10114278881972409 0.8918639685926831, 
3, 111111, 111110, 0.9785130033181516, 0.9785130033181516, 0.0 0.0 2.5016081788426353e-06 0.0018707887275385075 0.00953900352992933 0.10422160041590023 0.8843661057184531, 
4, 111111, 111111, 0.9797969389630401, 0.9797969389630401, 0.0 0.0 0.0 0.0001474637886747292 0.007272273000915266 0.10623142885390499 0.886348834356505, 
5, 111111, 111111, 0.9827463779562711, 0.9827463779562711, 0.0 0.0 0.0 0.0004698233349328665 0.006783287336249784 0.0885456875850758 0.9042012017437416, 
6, 111111, 111111, 0.9791840330106518, 0.9791840330106518, 0.0 0.0 0.0 0.0002326231559206971 0.007323184024903695 0.10955156441851953 0.8828926284006561, 
7, 111111, 111111, 0.9813505191088183, 0.9813505191088183, 0.0 0.0 0.0 3.4126806191106632e-06 0.007061258767985119 0.09776412976926221 0.8951711987821335, 
8, 111111, 111111, 0.9808216380198501, 0.9808216380198501, 0.0 0.0 2.1993071846337542e-05 0.001067388041264727 0.009340843337185425 0.09309834879534845 0.8964714267543551, 
9, 111111, 111111, 0.9807978048039646, 0.9807978048039646, 0.0 0.0 0.0 0.0008450684096820687 0.006734659594774895 0.09920864675761687 0.8932116252379262, 
10, 111111, 011111, 0.9807559063678931, 0.9807559063678931, 0.0 0.0 0.0002525735803873198 0.0005905691889219057 0.0068681258207866505 0.0989463082627532 0.893342423147151, 
11, 111111, 011111, 0.9805385848664578, 0.9805385848664578, 0.0 0.0 0.00022341405521404174 0.001223492815380153 0.010853223998929906 0.09049790813639609 0.8972019609940798, 
12, 111111, 111111, 0.9798937302761211, 0.9798937302761211, 0.0 0.0 0.0 0.0006469104904232706 0.006513388462254608 0.10567010994749425 0.8871695910998278, 
13, 111111, 111111, 0.9805146816892784, 0.9805146816892784, 0.0 0.0 0.0 0.00016774157234067006 0.007249720017831862 0.10190924511164376 0.8906732932981838, 
14, 111111, 111111, 0.9776502718516674, 0.9776502718516674, 0.0 0.0 0.0 0.00033031043172736957 0.011585170614434806 0.10993709636594369 0.8781474225878941, 
15, 111111, 111111, 0.9792964463355152, 0.9792964463355152, 0.0 0.0 0.0003371335968564805 0.0015066828937652988 0.006998923130297177 0.104354892657593 0.886802367721488, 
16, 111111, 111111, 0.9813345283864828, 0.9813345283864828, 0.0 0.0 7.204887596141724e-05 0.0002673894919262897 0.009216293495371805 0.09246987871073489 0.8979743894260056, 
17, 111111, 111111, 0.9816813057581256, 0.9816813057581256, 0.0 0.0 0.0 5.753332070537975e-06 0.004151700324089825 0.10159150480685471 0.8942510415369849, 
18, 111111, 111111, 0.9806884926246983, 0.9806884926246983, 0.0 0.0 0.0 0.0015221791986087389 0.006059731491494863 0.09918304367299498 0.8932350456369014, 
19, 001111, 111111, 0.978182395027549, 0.978182395027549, 0.0 0.0 0.0 5.880130279904319e-05 0.008486802055279075 0.1137556218157508 0.8776987748261711, 
20, 111111, 111110, 0.9795077061204807, 0.9795077061204807, 0.0 0.0 0.0 0.0 0.005753032778116627 0.11144769772088253 0.8827992695010008, 
21, 111111, 111111, 0.9803056421005077, 0.9803056421005077, 0.0 0.0 0.0 0.0009401232710771332 0.00796842766247017 0.09940892225878188 0.8916825268076708, 
22, 111110, 111111, 0.9816566217624273, 0.9816566217624273, 0.0 0.0 0.0 0.0007479154668103229 0.008381970792452923 0.09105258144009991 0.8998175323006368, 
23, 111111, 111111, 0.9804989492224611, 0.9804989492224611, 0.0 0.0 5.898652202810559e-05 0.0005471908211175032 0.006836813631403889 0.1014551588509606 0.8911018501744898, 
24, 111111, 111111, 0.9826741250403443, 0.9826741250403443, 0.0 0.0 0.0 0.000581475651330664 0.0057140092394725155 0.09078280432499646 0.9029217107842004, 
25, 111111, 111111, 0.9774132189437658, 0.9774132189437658, 0.0 0.0 0.0 0.0011143240867246473 0.011992674655947541 0.10819236476533672 0.8787006364919911, 
26, 111111, 111111, 0.980848958074882, 0.980848958074882, 0.0 0.0 0.0 0.0008395007004738998 0.007236731327211409 0.09791428679486296 0.8940094811774517, 
27, 111111, 111110, 0.9793771178535438, 0.9793771178535438, 0.0 0.0 0.0 0.00021374385078532353 0.006856275541941352 0.10938351024249844 0.8835464703647748, 
28, 111110, 111111, 0.979691376263803, 0.979691376263803, 0.0 0.0 0.0 0.0009390987443234947 0.004592185273569414 0.10985007563707273 0.8846186403450343, 
29, 111111, 011111, 0.98268582211754, 0.98268582211754, 0.0 0.0 0.0 0.0001852066236046382 0.006478105711537457 0.0903732360008716 0.9029634516639863, 
30, 111111, 111111, 0.9814715718397682, 0.9814715718397682, 0.0 0.0 0.0 0.0005789194171030464 0.006446330939432945 0.09654114883121631 0.8964336008122478, 
31, 111111, 111111, 0.9798346601084281, 0.9798346601084281, 0.0 0.0 0.0 0.0007182039070809455 0.007586802161025812 0.1036638233061368 0.8880311706257564, 
32, 111111, 111111, 0.9801025524991364, 0.9801025524991364, 0.0 0.0 0.00014295713422877445 0.0009453783176825159 0.007914277952765952 0.10014816560968709 0.8908492209856357, 
33, 111111, 111111, 0.9812712590758552, 0.9812712590758552, 0.0 0.0 0.0 0.0002853245326475586 0.007749869108411768 0.09601673373010232 0.8959480726288384, 
34, 111111, 111111, 0.9788623043299477, 0.9788623043299477, 0.0 0.0 0.0 0.0006359173018661567 0.011075965243254047 0.10276649162820715 0.8855216258266727, 
35, 111111, 111111, 0.9767162809317648, 0.9767162809317648, 0.0 0.0 0.0 0.0008259770334504686 0.011945070557584874 0.11333424219388989 0.8738947102150748, 
36, 111111, 111111, 0.9803163576205044, 0.9803163576205044, 0.0 0.0 0.0 0.00031389261286477246 0.007010080936674165 0.10314001456503105 0.8895360118854301, 
37, 111111, 011111, 0.9794990353250115, 0.9794990353250115, 0.0 0.0 0.0 0.0003520352779146461 0.009473575587036452 0.1030025310421146 0.8871718580929343, 
38, 111111, 111111, 0.9764303804031856, 0.9764303804031856, 0.0 0.0 0.0 0.00024760841269992644 0.008448148992492492 0.12377859435780106 0.8675256482370064, 
39, 111111, 111111, 0.9796454256771204, 0.9796454256771204, 0.0 0.0 0.0 0.0003830025600862432 0.01000964016716809 0.10095915792268251 0.8886481993500631, 
40, 111111, 111111, 0.9821071278127492, 0.9821071278127492, 0.0 0.0 0.0 0.0006819577344762711 0.007415112441240122 0.09048113503759536 0.9014217947866882, 
41, 111111, 111111, 0.9827425428814693, 0.9827425428814693, 0.0 0.0 0.0 4.212731119340374e-05 0.006130146018218389 0.09115806874116729 0.9026696579294209, 
42, 111111, 011111, 0.9807733015780725, 0.9807733015780725, 0.0 0.0 0.000294247917446636 0.0005887936572062401 0.007376870372040356 0.09766307714607812 0.8940770109072287, 
43, 111110, 111110, 0.9787121019501253, 0.9787121019501253, 0.0 0.0 0.00030014928510404767 0.002774871155238059 0.01149248395272871 0.09521720978766014 0.890215285819269, 
44, 111111, 111111, 0.9806879994566015, 0.9806879994566015, 0.0 0.0 0.0 0.00047593708273467556 0.00642913351160194 0.10158592498898326 0.8915090044166801, 
45, 111111, 111111, 0.9813695189991216, 0.9813695189991216, 0.0 0.0 0.0 0.0009756332847833916 0.006550700389248541 0.09575458537242278 0.8967190809535452, 
46, 111111, 111111, 0.9801337448650018, 0.9801337448650018, 0.0 0.0 0.0 0.00019529848387814702 0.008694169415784122 0.10122329652678623 0.8898872355735514, 
47, 111111, 111111, 0.9807611376022999, 0.9807611376022999, 0.0 0.0 0.0 0.0010099766679210322 0.008569567982446494 0.0952641084175443 0.8951563469320882, 
48, 111111, 111110, 0.9794736707766115, 0.9794736707766115, 0.0 0.0 0.0 0.00117202727009444 0.006177317966554167 0.1072872575969396 0.8853633971664118, 
