run, initial grid state, final grid state, mean grid cell occupancy, mean binding site occupancy, fraction of time with N TFs bound, warning
1, 111111, 111111, 0.9785244820220019, 0.9785244820220019, 0.0 0.0 0.0 0.0004338808289264213 0.009519080078130704 0.1085133052249478 0.881533733867995, 
2, 011111, 011111, 0.9791840876669462, 0.9791840876669462, 0.0 0.0 0.0 0.00043885224637377825 0.008226956483810558 0.10712500429157959 0.884209186978236, 
3, 111111, 111111, 0.9776471938191504, 0.9776471938191504, 0.0 0.0 0.0 0.0003972216232295831 0.008778851817271326 0.11536746858086565 0.8754564579786334, 
4, 111111, 011111, 0.9770030246438348, 0.9770030246438348, 0.0 0.0 0.0 0.00034888943782693927 0.010355592555587205 0.11622399871233657 0.8730715192942493, 
5, 111111, 111111, 0.9760203416166638, 0.9760203416166638, 0.0 0.0 0.0 0.0009579840663172801 0.010301657131648958 0.12040068383776771 0.8683396749642661, 
6, 111111, 111110, 0.9755638048487674, 0.9755638048487674, 0.0 0.0 0.0 0.0015030213294747257 0.014707756878994683 0.11269259316098237 0.8710966286305483, 
7, 011111, 011111, 0.9768150975142551, 0.9768150975142551, 0.0 0.0 0.0 0.0 0.013171954603007874 0.11276550570845364 0.8740625396885385, 
8, 111111, 111111, 0.9764355738757999, 0.9764355738757999, 0.0 0.0 6.950273466053462e-05 0.001704895756893314 0.012036028704868366 0.11192180112614114 0.8742677716774366, 
9, 111111, 111111, 0.9750392884399827, 0.9750392884399827, 0.0 0.0 0.0 0.00171951092086054 0.01259805404858996 0.119409628500342 0.8662728065302076, 
10, 111111, 111111, 0.9789130870309125, 0.9789130870309125, 0.0 0.0 0.0 0.0005009193633907182 0.008409236073379877 0.10820024757759307 0.8828895969856363, 
11, 111100, 111111, 0.9785401201870572, 0.9785401201870572, 0.0 0.0 0.00019604092646031152 0.001376502576841059 0.0064826120257620076 0.11088038338976758 0.881064461081169, 
12, 011111, 111111, 0.9797207480910509, 0.9797207480910509, 0.0 0.0 0.0 0.00027183228155523535 0.006525409954039484 0.10780919470095003 0.8853935630634552, 
13, 111111, 111111, 0.9769674044464238, 0.9769674044464238, 0.0 0.0 0.0 0.00031058626193659645 0.010350074131130848 0.11656366627338499 0.8727756733335476, 
14, 111111, 111111, 0.9770724682194026, 0.9770724682194026, 0.0 0.0 0.0 0.0005156872815842145 0.012522682823449626 0.11097276319193208 0.875988866703034, 
15, 011111, 111111, 0.9759405336482659, 0.9759405336482659, 0.0 0.0 0.0 0.0020731423438768476 0.011175028116768846 0.11578731484523676 0.8709645146941175, 
16, 111111, 111111, 0.9764760028452417, 0.9764760028452417, 0.0 0.0 0.0 0.0006741493071322213 0.009892182884589356 0.11933716923797438 0.870096498570304, 
