run, initial grid state, final grid state, mean grid cell occupancy, mean binding site occupancy, fraction of time with N TFs bound, warning
1, 000000, 000000, 3.925983630630662e-05, 3.925983630630662e-05, 0.9997644409821621 0.00023555901783783975, 
2, 000000, 000000, 3.985823075284588e-05, 3.985823075284588e-05, 0.9997608506154829 0.00023914938451707527, 
3, 000000, 000000, 3.836247234637563e-05, 3.836247234637563e-05, 0.9997698251659217 0.00023017483407825382, 
4, 000000, 000000, 0.004906871939730273, 0.004906871939730273, 0.9881456000388141 0.00023345721902339402 0.005655232295315127 0.0059655319586619454 1.7848818553875413e-07, 
5, 000000, 000000, 3.662839300345956e-05, 3.662839300345956e-05, 0.9997802296419792 0.00021977035802075732, 
6, 000000, 000000, 0.013117606490206343, 0.013117606490206343, 0.9806299112083565 0.0002250485428113145 0.0025314473647377825 0.00438717404254241 0.0035641727722679328 0.005973993963451444 0.0026882521058324985, 
7, 000000, 000000, 3.803733407220745e-05, 3.803733407220745e-05, 0.9997717759955668 0.0002282240044332447, 
8, 000000, 000000, 4.0503747687802136e-05, 4.0503747687802136e-05, 0.9997571293252199 0.00024271886343359294 1.518113466099519e-07, 
9, 000000, 000000, 3.763573636109829e-05, 3.763573636109829e-05, 0.9997741855818335 0.00022581441816658975, 
10, 000000, 000000, 4.09710433444062e-05, 4.09710433444062e-05, 0.9997541737399336 0.0002458262600664372, 
11, 000000, 000000, 4.041028063765878e-05, 4.041028063765878e-05, 0.999757538316174 0.00024246168382595273, 
12, 000000, 000000, 3.898818852077208e-05, 3.898818852077208e-05, 0.9997663373548683 0.00023339615913869 2.664859929712449e-07, 
13, 000000, 000000, 4.058849552522135e-05, 4.058849552522135e-05, 0.9997564690268487 0.00024353097315132812, 
14, 000000, 000000, 3.845141945224272e-05, 3.845141945224272e-05, 0.9997692914832865 0.00023070851671345635, 
15, 000000, 000000, 3.862955516067809e-05, 3.862955516067809e-05, 0.9997682226690359 0.00023177733096406853, 
16, 000000, 000000, 4.079960621903535e-05, 4.079960621903535e-05, 0.9997552023626858 0.00024479763731421214, 
17, 000000, 000000, 0.00030180235893406405, 0.00030180235893406405, 0.9989754367353382 0.0002383568723876924 0.0007861618956056921 4.44966684358243e-08, 
18, 000000, 000000, 3.728108115966561e-05, 3.728108115966561e-05, 0.999776313513042 0.00022368648695799366, 
19, 000000, 000000, 3.8184779315992265e-05, 3.8184779315992265e-05, 0.9997709439165788 0.00022900349094641566 5.2592474768965326e-08, 
20, 000000, 000000, 0.00019539872116073934, 0.00019539872116073934, 0.9992961274450216 0.00023551961831501378 0.00046818610134071847 1.6683532266177983e-07, 
21, 000000, 000000, 3.783970115906581e-05, 3.783970115906581e-05, 0.9997729617930458 0.00022703820695439486, 
22, 000000, 000000, 4.027318866068967e-05, 4.027318866068967e-05, 0.9997583608680359 0.00024163913196413803, 
23, 000000, 000000, 3.9861291636439726e-05, 3.9861291636439726e-05, 0.9997608322501813 0.00023916774981863834, 
24, 000000, 000000, 0.0015015176020158727, 0.0015015176020158727, 0.9953851710246188 0.00022076193955614207 0.004393857434936037 2.0960088900605273e-07, 
25, 000000, 000000, 3.877884589543352e-05, 3.877884589543352e-05, 0.9997673269246274 0.00023267307537260115, 
26, 000000, 000000, 4.052241734959298e-05, 4.052241734959298e-05, 0.9997568743649581 0.00024311676598594664 8.86905580563323e-09, 
27, 000000, 000000, 4.1302565290495354e-05, 4.1302565290495354e-05, 0.9997521846082571 0.0002478153917429721, 
28, 000000, 000000, 3.916758362803933e-05, 3.916758362803933e-05, 0.9997649944982318 0.00023500550176823603, 
29, 000000, 000000, 4.0643583401893916e-05, 4.0643583401893916e-05, 0.9997561384995886 0.0002438615004113635, 
30, 000000, 000000, 0.0022352172272592278, 0.0022352172272592278, 0.9949881540023021 0.0002244534437306576 0.00117555510380287 0.003611610088438222 2.273617260762493e-07, 
31, 000000, 000000, 3.812820408827954e-05, 3.812820408827954e-05, 0.9997712307754703 0.00022876922452967727, 
32, 000000, 000000, 3.9592278255931835e-05, 3.9592278255931835e-05, 0.9997624463304643 0.00023755366953559105, 
33, 000000, 000000, 4.040335607450127e-05, 4.040335607450127e-05, 0.999757655380774 0.000242269102004977 7.55172210153181e-08, 
34, 000000, 000000, 4.1084054620117126e-05, 4.1084054620117126e-05, 0.9997534956722793 0.00024650432772070277, 
35, 000000, 000000, 4.011798488509514e-05, 4.011798488509514e-05, 0.9997592920906895 0.00024070790931057085, 
36, 000000, 000000, 4.041298706976857e-05, 4.041298706976857e-05, 0.9997575220775815 0.00024247792241861144, 
37, 000000, 000000, 3.8910243046477724e-05, 3.8910243046477724e-05, 0.9997665385417212 0.00023346145827886635, 
38, 000000, 000000, 3.95001591292437e-05, 3.95001591292437e-05, 0.9997629990452246 0.0002370009547754622, 
39, 000000, 000000, 3.91785505681923e-05, 3.91785505681923e-05, 0.9997649286965908 0.00023507130340915378, 
40, 000000, 000000, 0.0008549804360589951, 0.0008549804360589951, 0.9973189763357213 0.00023259215331737252 0.002448004069847276 4.2744111401561705e-07, 
41, 000000, 000000, 4.291626353297829e-05, 4.291626353297829e-05, 0.9997425024188021 0.00025749758119786976, 
42, 000000, 000000, 4.032887973027147e-05, 4.032887973027147e-05, 0.9997580267216183 0.00024197327838162882, 
43, 000000, 000000, 3.857176180101051e-05, 3.857176180101051e-05, 0.9997685694291941 0.00023143057080606309, 
44, 000000, 000000, 3.9268799980075894e-05, 3.9268799980075894e-05, 0.9997643872001195 0.00023561279988045536, 
45, 000000, 000000, 3.952998681823485e-05, 3.952998681823485e-05, 0.9997628200790907 0.00023717992090940907, 
46, 000000, 000000, 3.9974547233383866e-05, 3.9974547233383866e-05, 0.9997601527165997 0.00023984728340030323, 
47, 000000, 000000, 4.151978763221814e-05, 4.151978763221814e-05, 0.9997508812742066 0.00024911872579330886, 
48, 000000, 000000, 0.0007676529548609427, 0.0007676529548609427, 0.99758399058766 0.00022610109551433137 0.0021899083168256633, 
49, 000000, 000000, 3.871903449980271e-05, 3.871903449980271e-05, 0.9997676857930012 0.00023231420699881627, 
50, 000000, 000000, 3.867215928698636e-05, 3.867215928698636e-05, 0.9997679670442781 0.00023203295572191818, 
51, 000000, 000000, 3.8630424257875204e-05, 3.8630424257875204e-05, 0.9997682174544528 0.00023178254554725127, 
52, 000000, 000000, 3.749528628306563e-05, 3.749528628306563e-05, 0.9997750536407148 0.00022492100087182867 2.5358413282566628e-08, 
53, 000000, 000000, 3.792276900677089e-05, 3.792276900677089e-05, 0.9997724633859595 0.0002275366140406253, 
54, 000000, 000000, 3.899825284939515e-05, 3.899825284939515e-05, 0.9997660104829036 0.00023398951709637092, 
55, 000000, 000000, 0.004876282988370074, 0.004876282988370074, 0.9880378751246468 0.00023713604660068773 0.008118369699703549 0.0016426540319831617 0.0019639650970657966, 
56, 000000, 000000, 3.643800598311071e-05, 3.643800598311071e-05, 0.9997813719641014 0.00021862803589866426, 
57, 000000, 000000, 3.715972123181791e-05, 3.715972123181791e-05, 0.9997770416726091 0.00022295832739090748, 
58, 000000, 000000, 3.987214716478186e-05, 3.987214716478186e-05, 0.9997607671170113 0.00023923288298869115, 
59, 000000, 000000, 3.9224141800458226e-05, 3.9224141800458226e-05, 0.9997646551491972 0.00023534485080274937, 
60, 000000, 000000, 3.863046236724695e-05, 3.863046236724695e-05, 0.9997682172257966 0.0002317827742034817, 
61, 000000, 000000, 3.717823228740956e-05, 3.717823228740956e-05, 0.9997769306062755 0.00022306939372445736, 
62, 000000, 000000, 0.023208301099418897, 0.023208301099418897, 0.9585921715643644 0.0002445637393595044 0.00919357258713314 0.015997554079447043 0.009029627871183946 0.00514813699126094 0.001794373167250997, 
63, 000000, 000000, 4.0332009259917106e-05, 4.0332009259917106e-05, 0.9997580079444405 0.00024199205555950262, 
64, 000000, 000000, 4.117883689345271e-05, 4.117883689345271e-05, 0.9997529269786393 0.00024707302136071625, 
65, 000000, 000000, 4.03671826080194e-05, 4.03671826080194e-05, 0.9997577969043518 0.0002422030956481164, 
66, 000000, 000000, 3.946820287827056e-05, 3.946820287827056e-05, 0.9997631907827303 0.00023680921726962337, 
67, 000000, 000000, 4.0310999306516285e-05, 4.0310999306516285e-05, 0.9997581340041609 0.0002418659958390977, 
